date,delhi,mumbai,chennai,kolkata,year,month,week_number
2026-01-16,87.67,90.03,92.39,92.02,2026,1,3
2026-01-15,87.67,90.03,92.39,92.02,2026,1,3
2026-01-14,87.67,90.03,92.39,92.02,2026,1,3
2026-01-13,87.67,90.03,92.39,92.02,2026,1,3
2026-01-12,87.67,90.03,92.39,92.02,2026,1,3
2026-01-11,87.67,90.03,92.39,92.02,2026,1,2
2026-01-10,87.67,90.03,92.39,92.02,2026,1,2
2026-01-09,87.67,90.03,92.39,92.02,2026,1,2
2026-01-08,87.67,90.03,92.39,92.02,2026,1,2
2026-01-07,87.67,90.03,92.39,92.02,2026,1,2
2026-01-06,87.67,90.03,92.39,92.02,2026,1,2
2026-01-05,87.67,90.03,92.39,92.02,2026,1,2
2026-01-04,87.67,90.03,92.39,92.02,2026,1,1
2026-01-03,87.67,90.03,92.39,92.02,2026,1,1
2026-01-02,87.67,90.03,92.39,92.02,2026,1,1
2026-01-01,87.67,90.03,92.39,92.02,2026,1,1
2025-12-31,87.67,90.03,92.39,92.02,2025,12,1
2025-12-30,87.67,90.03,92.39,92.02,2025,12,1
2025-12-29,87.67,90.03,92.39,92.02,2025,12,1
2025-12-28,87.67,90.03,92.39,92.02,2025,12,52
2025-12-27,87.67,90.03,92.39,92.02,2025,12,52
2025-12-26,87.67,90.03,92.39,92.02,2025,12,52
2025-12-25,87.67,90.03,92.39,92.02,2025,12,52
2025-12-24,87.67,90.03,92.39,92.02,2025,12,52
2025-12-23,87.67,90.03,92.39,92.02,2025,12,52
2025-12-22,87.67,90.03,92.39,92.02,2025,12,52
2025-12-21,87.67,90.03,92.39,92.02,2025,12,51
2025-12-20,87.67,90.03,92.39,92.02,2025,12,51
2025-12-19,87.67,90.03,92.39,92.02,2025,12,51
2025-12-18,87.67,90.03,92.39,92.02,2025,12,51
2025-12-17,87.67,90.03,92.39,92.02,2025,12,51
2025-12-16,87.67,90.03,92.39,92.02,2025,12,51
2025-12-15,87.67,90.03,92.39,92.02,2025,12,51
2025-12-14,87.67,90.03,92.39,92.02,2025,12,50
2025-12-13,87.67,90.03,92.39,92.02,2025,12,50
2025-12-12,87.67,90.03,92.39,92.02,2025,12,50
2025-12-11,87.67,90.03,92.39,92.02,2025,12,50
2025-12-10,87.67,90.03,92.39,92.02,2025,12,50
2025-12-09,87.67,90.03,92.39,92.02,2025,12,50
